t,k,v,trials,rows,time
2,10,2,0,10.68,0.0003319689360531893
2,10,2,5,9.5,0.0007395952750766085
2,10,2,10,9.02,0.0011418333129277305
2,10,2,15,8.72,0.001463166361763364
2,10,2,20,8.78,0.0019440660400996132
2,10,2,100,8.4,0.007475221157073974
2,10,2,500,8.7,0.032656838638441904
2,10,2,dynamic,8.56,0.031127436397567623
2,11,2,0,11.14,0.00039171825829826775
2,11,2,5,9.82,0.0009126339030988288
2,11,2,10,9.56,0.0013198378332077512
2,11,2,15,9.2,0.00178268948055449
2,11,2,20,9.14,0.0024365874509962777
2,11,2,100,8.4,0.008752247265407015
2,11,2,500,8.6,0.03736558329491388
2,11,2,dynamic,9.06,0.039120165251550224
2,12,2,0,12.0,0.000547201855014069
2,12,2,5,10.38,0.0011941959219749527
2,12,2,10,9.92,0.0018049279659513439
2,12,2,15,9.38,0.002593957210343981
2,12,2,20,9.34,0.0029541730407684572
2,12,2,100,8.9,0.011500485028539386
2,12,2,500,9.0,0.04970398734486293
2,12,2,dynamic,9.08,0.04945875174469418
2,15,2,0,12.75,0.001244024391615744
2,15,2,5,11.25,0.0022810183751462683
2,15,2,10,10.55,0.0029903264449100296
2,15,2,15,10.4,0.004127366494650792
2,15,2,20,10.15,0.005629042968003438
2,15,2,100,10.0,0.018748925659391614
2,15,2,500,9.8,0.0776695410410563
2,15,2,dynamic,9.6,0.08201294718848336
2,20,2,0,14.9,0.026334656504414855
2,20,2,5,12.5,0.029086692778287977
2,20,2,10,11.9,0.028491146365801495
2,20,2,15,11.5,0.029976942491049714
2,20,2,20,11.45,0.03164995565558924
2,20,2,100,10.6,0.06286024782392713
2,20,2,500,10.0,0.19237550099690753
2,20,2,dynamic,10.4,0.17700048658582898
